T,P,L,D,Catalysis
360,6.9,5.5,7.5,145715.625
360,6.9,5.5,8.0,165792.0
360,6.9,5.5,8.5,187163.625
360,6.9,5.5,9.0,209830.5
360,6.9,5.5,9.5,233792.625
360,6.9,5.5,10.0,259050.0
360,6.9,6.0,2.0,11304.0
360,6.9,6.0,2.5,17662.5
360,6.9,6.0,3.0,25434.0
360,6.9,6.0,3.5,34618.5
360,6.9,6.0,4.0,45216.0
360,6.9,6.0,4.5,57226.5
360,6.9,6.0,5.0,70650.0
360,6.9,6.0,5.5,85486.5
360,6.9,6.0,6.0,101736.0
360,6.9,6.0,6.5,119398.5
360,6.9,6.0,7.0,138474.0
360,6.9,6.0,7.5,158962.5
360,6.9,6.0,8.0,180864.0
360,6.9,6.0,8.5,204178.5
360,6.9,6.0,9.0,228906.0
360,6.9,6.0,9.5,255046.5
360,6.9,6.0,10.0,282600.0
360,6.9,6.5,2.0,12246.0
360,6.9,6.5,2.5,19134.375
360,6.9,6.5,3.0,27553.5
360,6.9,6.5,3.5,37503.375
360,6.9,6.5,4.0,48984.0
360,6.9,6.5,4.5,61995.375
360,6.9,6.5,5.0,76537.5
360,6.9,6.5,5.5,92610.375
360,6.9,6.5,6.0,110214.0
360,6.9,6.5,6.5,129348.375
360,6.9,6.5,7.0,150013.5
360,6.9,6.5,7.5,172209.375
360,6.9,6.5,8.0,195936.0
360,6.9,6.5,8.5,221193.375
360,6.9,6.5,9.0,247981.5
360,6.9,6.5,9.5,276300.375
360,6.9,6.5,10.0,306150.0
360,6.9,7.0,2.0,13188.0
360,6.9,7.0,2.5,20606.25
360,6.9,7.0,3.0,29673.0
360,6.9,7.0,3.5,40388.25
360,6.9,7.0,4.0,52752.0
360,6.9,7.0,4.5,66764.25
360,6.9,7.0,5.0,82425.0
360,6.9,7.0,5.5,99734.25
360,6.9,7.0,6.0,118692.0
360,6.9,7.0,6.5,139298.25
360,6.9,7.0,7.0,161553.0
360,6.9,7.0,7.5,185456.25
360,6.9,7.0,8.0,211008.0
360,6.9,7.0,8.5,238208.25
360,6.9,7.0,9.0,267057.0
360,6.9,7.0,9.5,297554.25
360,6.9,7.0,10.0,329700.0
360,6.9,7.5,2.0,14130.0
360,6.9,7.5,2.5,22078.125
360,6.9,7.5,3.0,31792.5
360,6.9,7.5,3.5,43273.125
360,6.9,7.5,4.0,56520.0
360,6.9,7.5,4.5,71533.125
360,6.9,7.5,5.0,88312.5
360,6.9,7.5,5.5,106858.125
360,6.9,7.5,6.0,127170.0
360,6.9,7.5,6.5,149248.125
360,6.9,7.5,7.0,173092.5
360,6.9,7.5,7.5,198703.125
360,6.9,7.5,8.0,226080.0
360,6.9,7.5,8.5,255223.125
360,6.9,7.5,9.0,286132.5
360,6.9,7.5,9.5,318808.125
360,6.9,7.5,10.0,353250.0
360,6.9,8.0,2.0,15072.0
360,6.9,8.0,2.5,23550.0
